"","p_value_mix_compsym"
"AMD1",0.0362089307198388
"GYPC",0.0100133055378824
"FCN1",3.66118246830638e-12
"ELMOD3",0.00704621347670431
"STK25",0.00576395318905565
"ESAM",0.00203847912329291
"GSTM1",0.00169018129792198
"ZNF282",0.000578063664578687
"ZDHHC18",2.17282974945832e-08
"BLK",5.6755810645237e-05
"OAF",3.40262373832445e-08
"CDC37",0.000163577606095311
"WIPF1",8.84282259883129e-06
"KIAA0922",0.000146436896407476
"LRRC47",0.223265479450803
"PIP5K1C",1.15028756453306e-06
"GVINP1",0.00536873757564749
"JOSD1",0.00126201903726131
"ZNHIT6",2.07447230948787e-07
"RGS10",0.00150430128957835
"CRBN",1.3094055839602e-08
"NAAA",5.30005530788857e-05
"TBC1D10B",0.0100565333172595
"GABPB2",0.712218047438843
"CCND3",0.020159680512592
"CENPM",0.0780597912274961
"BATF",1.03522763267305e-05
"MAP2K3",0.007754610872857
"CIDEB",0.000493816551100146
"MID1IP1",0.3405997819575
"C1QBP",0.0104413100598157
"XPNPEP1",0.000953918030847545
"LYST",0.0109484379328146
"NCOA1",7.70299611874137e-07
"ZNF672",0.0114294470136769
"ATF5",0
"RASSF5",0.000204689543147119
"CUL2",0.000178936433549937
"ANKRD49",1.20031716681623e-05
"PPT1",0.00728857587044407
"CLN3",1.11364854957774e-05
"YWHAZ",0.149363911544067
"BRPF1",0.550407258644016
"RHOT2",7.66226567616712e-06
"MATK",2.91995004435552e-05
"DRAM1",2.4332419412687e-09
"AP4B1",0.0334643419702274
"ZSWIM8",9.98423566045403e-13
"PYHIN1",4.40116065147933e-07
"NME3",4.84794799326949e-06
"WDR6",0.0062792798128849
"E2F3",0
"TIAF1",0.0584640841218358
"PAF1",0.00301727492057946
"FOS",0.0648200797860902
"MAD2L2",4.93870041629041e-06
"MARCH2",0.000359509353623944
"ACP1",6.18113301653622e-07
"NUP85",0.00708309975685584
"CNPY3",6.12554468260029e-08
"WAC",4.45285458139377e-06
"NUDT14",3.39883305944255e-08
"ESD",0.00907725013436855
"SLC18B1",4.78939443104842e-07
"SH2B2",3.47002426792642e-11
"GUSB",0.100554545397344
"DCP2",6.80566158983709e-10
"ICOS",6.8814653519933e-06
"TM9SF3",0.00224771431059767
"NDUFS7",0.00671274460774463
"DCAF6",0.00206558197692375
"CLEC2D",1.25679466833617e-11
"ARID3A",0.000171141161790844
"PHC2",1.38550737549537e-09
"EXOSC6",0.00312011654604549
"CDC45",0.0294600790231796
"CNST",8.19685455177854e-07
"LRP10",8.98855323505643e-10
"HK3",0.000117872567950483
"SERPING1",0
"FCHO2",2.62641141142161e-05
"LBH",9.02440144834316e-09
"METAP2",1.09175778462145e-06
"RBM42",5.12915509203182e-05
"FAF2",3.97304175370206e-06
"GMCL1",0.000914987448324078
"IDO2",0.262618979555924
"IRF5",5.61148289346391e-06
"ATOX1",9.81763559337878e-11
"PITPNC1",2.52969307723561e-08
"KIAA0907",0.0144534537714738
"EXOSC10",0.548420546722237
"GRPEL1",0.178503255333815
"PPM1D",0.0268877460719406
"ZNF207",1.20660877891421e-05
"COX10",0.386090652920208
"CHST15",1.22999694869286e-05
"TSR2",0.00133915441151422
"TALDO1",0.0015894406329342
"GALNT3",9.15620536501294e-07
"HLA-A",8.97915357452872e-05
"XXYLT1",0.0319499466973407
"MRPL13",0.0145931074979248
"UQCRC1",1.58187574150759e-10
"IARS2",2.50379631028252e-05
"GAPVD1",0.784096042087603
"DKC1",0.000163197898316536
"RNASEL",1.83159059652382e-06
